market,date,rank,code,name,trade_value,trade_volume_shares,closing_price,change,transactions
TPEx,2026-03-30,12,3324,雙鴻,3296279000.0,3447000.0,956.0,-37.0,2991.0
TPEx,2026-03-30,13,8096,擎亞,3147563900.0,34340000.0,92.7,1.3,20574.0
TPEx,2026-03-30,14,6147,頎邦,3066381300.0,40235000.0,76.7,-0.1,18986.0
TPEx,2026-03-30,15,6510,精測,2982175000.0,897000.0,3320.0,80.0,838.0
TPEx,2026-03-30,16,6223,旺矽,2875480000.0,783000.0,3735.0,70.0,734.0
TPEx,2026-03-30,17,3131,弘塑,2672610000.0,938000.0,2815.0,-30.0,859.0
TPEx,2026-03-30,18,8358,金居,2649754000.0,11500000.0,233.5,-3.5,7370.0
TPEx,2026-03-30,19,1815,富喬,2474877500.0,24228000.0,103.5,-3.0,12653.0
TPEx,2026-03-30,20,7734,印能科技,2243900000.0,1142000.0,2025.0,180.0,1007.0
TWSE,2026-03-30,1,2330,台積電,82684350734.0,46272405.0,1780.0,40.0,335778.0
TWSE,2026-03-30,2,2313,華通,34891140177.0,132499877.0,263.0,7.0,102400.0
TWSE,2026-03-30,3,2408,南亞科,27799385503.0,125717079.0,220.5,1.0,79945.0
TWSE,2026-03-30,4,2308,台達電,17474042886.0,11853740.0,1485.0,25.0,36227.0
TWSE,2026-03-30,5,2344,華邦電,14327438317.0,152254475.0,93.0,0.6,92269.0
TWSE,2026-03-30,6,0050,元大台灣50,12905676995.0,175515568.0,73.9,1.1,261697.0
TWSE,2026-03-30,7,3715,定穎投控,12763836329.0,67375265.0,185.0,18.5,55869.0
TWSE,2026-03-30,8,2454,聯發科,12514043200.0,8234525.0,1510.0,75.0,51715.0
TWSE,2026-03-30,9,3661,世芯-KY,12345155705.0,4353558.0,2750.0,290.0,55606.0
TWSE,2026-03-30,10,6770,力積電,12036947599.0,206031533.0,58.1,1.1,92222.0
TWSE,2026-03-30,11,8046,南電,11003108353.0,19641148.0,580.0,19.0,22576.0
TWSE,2026-03-30,12,1303,南亞,10571022974.0,133187379.0,81.4,7.2,77077.0
TWSE,2026-03-30,13,2383,台光電,10420318595.0,3755290.0,2785.0,125.0,18176.0
TWSE,2026-03-30,14,2317,鴻海,9034499881.0,46503907.0,194.0,5.5,60931.0
TWSE,2026-03-30,15,2367,燿華,8812094706.0,114722692.0,76.5,1.7,69795.0
TWSE,2026-03-30,16,4958,臻鼎-KY,7351744050.0,33063147.0,226.5,3.5,28588.0
TWSE,2026-03-30,17,3017,奇鋐,6964115850.0,3278469.0,2135.0,60.0,12843.0
TWSE,2026-03-30,18,2345,智邦,6352029895.0,3927435.0,1635.0,20.0,7455.0
TWSE,2026-03-30,19,6285,啟碁,6006537224.0,33593563.0,179.0,9.5,37740.0
TWSE,2026-03-30,20,3443,創意,5761225045.0,2500860.0,2310.0,150.0,11161.0
TPEx,2026-03-31,1,3105,穩懋,18131924500.0,49320000.0,351.5,-39.0,34213.0
TPEx,2026-03-31,2,8299,群聯,15362455000.0,10038000.0,1500.0,-105.0,7785.0
TPEx,2026-03-31,3,8358,金居,9028602500.0,37278000.0,236.5,3.0,24715.0
TPEx,2026-03-31,4,6274,台燿,7493134000.0,12821000.0,569.0,-33.0,9961.0
TPEx,2026-03-31,5,3081,聯亞,7190520000.0,4491000.0,1575.0,-135.0,3815.0
TPEx,2026-03-31,6,6683,雍智科技,6306945000.0,4343000.0,1370.0,-150.0,3869.0
TPEx,2026-03-31,7,3131,弘塑,5891690000.0,2107000.0,2750.0,-65.0,1751.0
TPEx,2026-03-31,8,3324,雙鴻,5409873000.0,5981000.0,879.0,-77.0,4968.0
TPEx,2026-03-31,9,1785,光洋科,5333859100.0,58338000.0,89.5,-1.8,30909.0
TPEx,2026-03-31,10,3264,欣銓,4936850500.0,30623000.0,155.5,-6.5,18948.0
TPEx,2026-03-31,11,1815,富喬,4799018000.0,48497000.0,95.8,-7.7,26138.0
TPEx,2026-03-31,12,3211,順達,4652213000.0,13379000.0,345.0,-9.5,9828.0
TPEx,2026-03-31,13,4971,IET-KY,4532814000.0,7666000.0,572.0,-63.0,6156.0
